file,step,duration_seconds
part-00000,missing_check,1.27
part-00000,income_age_check,1.18
part-00000,addr_check,116.34
part-00000,clean_and_save,790.06
part-00001,missing_check,7.89
part-00001,income_age_check,1.18
part-00001,addr_check,116.34
part-00001,clean_and_save,782.86
part-00002,missing_check,7.73
part-00002,income_age_check,1.17
part-00002,addr_check,116.02
part-00002,clean_and_save,785.48
part-00003,missing_check,7.65
part-00003,income_age_check,1.09
part-00003,addr_check,115.59
part-00003,clean_and_save,783.78
part-00004,missing_check,7.9
part-00004,income_age_check,1.12
part-00004,addr_check,116.53
part-00004,clean_and_save,785.36
part-00005,missing_check,7.73
part-00005,income_age_check,1.11
part-00005,addr_check,116.11
part-00005,clean_and_save,781.27
part-00006,missing_check,7.5
part-00006,income_age_check,1.17
part-00006,addr_check,116.59
part-00006,clean_and_save,786.29
part-00007,missing_check,7.67
part-00007,income_age_check,1.11
part-00007,addr_check,116.82
part-00007,clean_and_save,784.06
