file,step,duration_seconds
part-00000,missing_check,11.14
part-00000,income_age_check,1.65
part-00000,addr_check,176.38
part-00000,clean_and_save,1188.32
part-00001,missing_check,11.09
part-00001,income_age_check,1.5
part-00001,addr_check,175.28
part-00001,clean_and_save,1178.13
part-00002,missing_check,10.98
part-00002,income_age_check,1.51
part-00002,addr_check,174.74
part-00002,clean_and_save,1179.19
part-00003,missing_check,11.51
part-00003,income_age_check,1.53
part-00003,addr_check,175.28
part-00003,clean_and_save,1175.99
part-00004,missing_check,10.89
part-00004,income_age_check,1.61
part-00004,addr_check,175.53
part-00004,clean_and_save,1183.28
part-00005,missing_check,10.67
part-00005,income_age_check,1.58
part-00005,addr_check,176.02
part-00005,clean_and_save,1181.62
part-00006,missing_check,11.22
part-00006,income_age_check,1.5
part-00006,addr_check,175.2
part-00006,clean_and_save,1175.92
part-00007,missing_check,11.1
part-00007,income_age_check,1.52
part-00007,addr_check,175.63
part-00007,clean_and_save,1175.63
part-00008,missing_check,11.04
part-00008,income_age_check,1.5
part-00008,addr_check,175.54
part-00008,clean_and_save,1182.39
part-00009,missing_check,11.02
part-00009,income_age_check,1.48
part-00009,addr_check,175.74
part-00009,clean_and_save,1181.0
part-00010,missing_check,11.21
part-00010,income_age_check,1.58
part-00010,addr_check,174.66
part-00010,clean_and_save,1181.89
part-00011,missing_check,11.0
part-00011,income_age_check,1.58
part-00011,addr_check,174.76
part-00011,clean_and_save,1180.17
part-00012,missing_check,11.1
part-00012,income_age_check,1.48
part-00012,addr_check,175.6
part-00012,clean_and_save,1181.32
part-00013,missing_check,11.33
part-00013,income_age_check,1.58
part-00013,addr_check,176.39
part-00013,clean_and_save,1181.07
part-00014,missing_check,10.89
part-00014,income_age_check,1.53
part-00014,addr_check,175.93
part-00014,clean_and_save,1192.95
part-00015,missing_check,11.02
part-00015,income_age_check,1.55
part-00015,addr_check,173.47
part-00015,clean_and_save,1180.34
